step,tl_id,lane_idqueue_length
907,0,4i_0,0
907,0,3i_0,0
907,0,2i_0,6
907,0,1i_0,1
908,0,4i_0,0
908,0,3i_0,0
908,0,2i_0,7
908,0,1i_0,1
909,0,4i_0,0
909,0,3i_0,0
909,0,2i_0,6
909,0,1i_0,0
910,0,4i_0,0
910,0,3i_0,0
910,0,2i_0,6
910,0,1i_0,0
911,0,4i_0,0
911,0,3i_0,0
911,0,2i_0,5
911,0,1i_0,0
912,0,4i_0,0
912,0,3i_0,0
912,0,2i_0,4
912,0,1i_0,0
913,0,4i_0,0
913,0,3i_0,0
913,0,2i_0,5
913,0,1i_0,0
914,0,4i_0,0
914,0,3i_0,0
914,0,2i_0,4
914,0,1i_0,0
915,0,4i_0,0
915,0,3i_0,0
915,0,2i_0,3
915,0,1i_0,1
916,0,4i_0,0
916,0,3i_0,0
916,0,2i_0,2
916,0,1i_0,0
917,0,4i_0,0
917,0,3i_0,0
917,0,2i_0,2
917,0,1i_0,0
918,0,4i_0,0
918,0,3i_0,0
918,0,2i_0,2
918,0,1i_0,0
919,0,4i_0,0
919,0,3i_0,0
919,0,2i_0,0
919,0,1i_0,0
920,0,4i_0,0
920,0,3i_0,0
920,0,2i_0,1
920,0,1i_0,0
921,0,4i_0,0
921,0,3i_0,0
921,0,2i_0,0
921,0,1i_0,0
922,0,4i_0,0
922,0,3i_0,0
922,0,2i_0,0
922,0,1i_0,0
923,0,4i_0,0
923,0,3i_0,0
923,0,2i_0,0
923,0,1i_0,0
924,0,4i_0,0
924,0,3i_0,0
924,0,2i_0,0
924,0,1i_0,0
925,0,4i_0,0
925,0,3i_0,0
925,0,2i_0,0
925,0,1i_0,0
926,0,4i_0,0
926,0,3i_0,0
926,0,2i_0,0
926,0,1i_0,0
927,0,4i_0,0
927,0,3i_0,0
927,0,2i_0,0
927,0,1i_0,0
928,0,4i_0,0
928,0,3i_0,0
928,0,2i_0,0
928,0,1i_0,0
929,0,4i_0,0
929,0,3i_0,0
929,0,2i_0,0
929,0,1i_0,0
930,0,4i_0,0
930,0,3i_0,0
930,0,2i_0,0
930,0,1i_0,0
931,0,4i_0,0
931,0,3i_0,0
931,0,2i_0,0
931,0,1i_0,0
932,0,4i_0,0
932,0,3i_0,0
932,0,2i_0,0
932,0,1i_0,0
933,0,4i_0,0
933,0,3i_0,0
933,0,2i_0,0
933,0,1i_0,0
934,0,4i_0,0
934,0,3i_0,0
934,0,2i_0,0
934,0,1i_0,0
935,0,4i_0,0
935,0,3i_0,0
935,0,2i_0,0
935,0,1i_0,0
936,0,4i_0,0
936,0,3i_0,0
936,0,2i_0,0
936,0,1i_0,0
937,0,4i_0,0
937,0,3i_0,0
937,0,2i_0,0
937,0,1i_0,0
938,0,4i_0,0
938,0,3i_0,0
938,0,2i_0,0
938,0,1i_0,0
939,0,4i_0,0
939,0,3i_0,0
939,0,2i_0,0
939,0,1i_0,0
940,0,4i_0,0
940,0,3i_0,0
940,0,2i_0,0
940,0,1i_0,0
941,0,4i_0,0
941,0,3i_0,0
941,0,2i_0,0
941,0,1i_0,0
942,0,4i_0,0
942,0,3i_0,0
942,0,2i_0,0
942,0,1i_0,0
943,0,4i_0,0
943,0,3i_0,0
943,0,2i_0,0
943,0,1i_0,0
944,0,4i_0,0
944,0,3i_0,0
944,0,2i_0,0
944,0,1i_0,0
945,0,4i_0,0
945,0,3i_0,0
945,0,2i_0,0
945,0,1i_0,0
946,0,4i_0,0
946,0,3i_0,0
946,0,2i_0,0
946,0,1i_0,0
947,0,4i_0,0
947,0,3i_0,0
947,0,2i_0,0
947,0,1i_0,0
948,0,4i_0,0
948,0,3i_0,0
948,0,2i_0,0
948,0,1i_0,0
949,0,4i_0,0
949,0,3i_0,0
949,0,2i_0,0
949,0,1i_0,0
950,0,4i_0,0
950,0,3i_0,0
950,0,2i_0,0
950,0,1i_0,0
951,0,4i_0,0
951,0,3i_0,0
951,0,2i_0,0
951,0,1i_0,0
952,0,4i_0,0
952,0,3i_0,0
952,0,2i_0,0
952,0,1i_0,0
953,0,4i_0,0
953,0,3i_0,0
953,0,2i_0,0
953,0,1i_0,0
954,0,4i_0,0
954,0,3i_0,0
954,0,2i_0,0
954,0,1i_0,0
955,0,4i_0,0
955,0,3i_0,0
955,0,2i_0,0
955,0,1i_0,0
956,0,4i_0,0
956,0,3i_0,0
956,0,2i_0,0
956,0,1i_0,0
957,0,4i_0,0
957,0,3i_0,0
957,0,2i_0,0
957,0,1i_0,0
958,0,4i_0,0
958,0,3i_0,0
958,0,2i_0,0
958,0,1i_0,0
959,0,4i_0,0
959,0,3i_0,1
959,0,2i_0,0
959,0,1i_0,0
960,0,4i_0,0
960,0,3i_0,1
960,0,2i_0,0
960,0,1i_0,0
961,0,4i_0,0
961,0,3i_0,1
961,0,2i_0,0
961,0,1i_0,0
962,0,4i_0,0
962,0,3i_0,1
962,0,2i_0,0
962,0,1i_0,0
963,0,4i_0,0
963,0,3i_0,1
963,0,2i_0,0
963,0,1i_0,0
964,0,4i_0,0
964,0,3i_0,1
964,0,2i_0,0
964,0,1i_0,0
965,0,4i_0,0
965,0,3i_0,1
965,0,2i_0,0
965,0,1i_0,0
966,0,4i_0,0
966,0,3i_0,1
966,0,2i_0,0
966,0,1i_0,0
967,0,4i_0,1
967,0,3i_0,1
967,0,2i_0,0
967,0,1i_0,0
968,0,4i_0,1
968,0,3i_0,1
968,0,2i_0,0
968,0,1i_0,0
969,0,4i_0,1
969,0,3i_0,1
969,0,2i_0,0
969,0,1i_0,0
970,0,4i_0,1
970,0,3i_0,1
970,0,2i_0,0
970,0,1i_0,0
971,0,4i_0,1
971,0,3i_0,1
971,0,2i_0,0
971,0,1i_0,0
972,0,4i_0,1
972,0,3i_0,1
972,0,2i_0,0
972,0,1i_0,0
973,0,4i_0,1
973,0,3i_0,1
973,0,2i_0,0
973,0,1i_0,0
974,0,4i_0,1
974,0,3i_0,1
974,0,2i_0,0
974,0,1i_0,0
975,0,4i_0,1
975,0,3i_0,1
975,0,2i_0,0
975,0,1i_0,0
976,0,4i_0,1
976,0,3i_0,1
976,0,2i_0,0
976,0,1i_0,0
977,0,4i_0,1
977,0,3i_0,2
977,0,2i_0,0
977,0,1i_0,0
978,0,4i_0,1
978,0,3i_0,2
978,0,2i_0,0
978,0,1i_0,0
979,0,4i_0,1
979,0,3i_0,2
979,0,2i_0,0
979,0,1i_0,0
980,0,4i_0,1
980,0,3i_0,2
980,0,2i_0,0
980,0,1i_0,0
981,0,4i_0,1
981,0,3i_0,3
981,0,2i_0,0
981,0,1i_0,0
982,0,4i_0,1
982,0,3i_0,3
982,0,2i_0,0
982,0,1i_0,0
983,0,4i_0,1
983,0,3i_0,3
983,0,2i_0,0
983,0,1i_0,0
984,0,4i_0,1
984,0,3i_0,3
984,0,2i_0,0
984,0,1i_0,0
985,0,4i_0,1
985,0,3i_0,3
985,0,2i_0,0
985,0,1i_0,0
986,0,4i_0,2
986,0,3i_0,3
986,0,2i_0,0
986,0,1i_0,0
987,0,4i_0,2
987,0,3i_0,3
987,0,2i_0,0
987,0,1i_0,0
988,0,4i_0,2
988,0,3i_0,3
988,0,2i_0,0
988,0,1i_0,0
989,0,4i_0,2
989,0,3i_0,3
989,0,2i_0,0
989,0,1i_0,0
990,0,4i_0,2
990,0,3i_0,3
990,0,2i_0,0
990,0,1i_0,0
991,0,4i_0,2
991,0,3i_0,3
991,0,2i_0,0
991,0,1i_0,0
992,0,4i_0,2
992,0,3i_0,3
992,0,2i_0,0
992,0,1i_0,0
993,0,4i_0,2
993,0,3i_0,3
993,0,2i_0,0
993,0,1i_0,0
994,0,4i_0,2
994,0,3i_0,3
994,0,2i_0,0
994,0,1i_0,0
995,0,4i_0,2
995,0,3i_0,3
995,0,2i_0,0
995,0,1i_0,0
996,0,4i_0,2
996,0,3i_0,3
996,0,2i_0,0
996,0,1i_0,0
997,0,4i_0,2
997,0,3i_0,3
997,0,2i_0,0
997,0,1i_0,0
998,0,4i_0,1
998,0,3i_0,2
998,0,2i_0,0
998,0,1i_0,0
999,0,4i_0,1
999,0,3i_0,2
999,0,2i_0,0
999,0,1i_0,0
1000,0,4i_0,1
1000,0,3i_0,2
1000,0,2i_0,0
1000,0,1i_0,0
1001,0,4i_0,0
1001,0,3i_0,1
1001,0,2i_0,0
1001,0,1i_0,0
1002,0,4i_0,0
1002,0,3i_0,1
1002,0,2i_0,0
1002,0,1i_0,0
1003,0,4i_0,0
1003,0,3i_0,0
1003,0,2i_0,0
1003,0,1i_0,0
1004,0,4i_0,0
1004,0,3i_0,0
1004,0,2i_0,0
1004,0,1i_0,0
1005,0,4i_0,0
1005,0,3i_0,0
1005,0,2i_0,0
1005,0,1i_0,0
1006,0,4i_0,0
1006,0,3i_0,0
1006,0,2i_0,0
1006,0,1i_0,1
1007,0,4i_0,0
1007,0,3i_0,0
1007,0,2i_0,0
1007,0,1i_0,1
1008,0,4i_0,0
1008,0,3i_0,0
1008,0,2i_0,0
1008,0,1i_0,1
1009,0,4i_0,0
1009,0,3i_0,0
1009,0,2i_0,0
1009,0,1i_0,1
1010,0,4i_0,0
1010,0,3i_0,0
1010,0,2i_0,0
1010,0,1i_0,1
1011,0,4i_0,0
1011,0,3i_0,0
1011,0,2i_0,0
1011,0,1i_0,1
1012,0,4i_0,0
1012,0,3i_0,0
1012,0,2i_0,0
1012,0,1i_0,1
1013,0,4i_0,0
1013,0,3i_0,0
1013,0,2i_0,0
1013,0,1i_0,1
1014,0,4i_0,0
1014,0,3i_0,0
1014,0,2i_0,0
1014,0,1i_0,1
1015,0,4i_0,0
1015,0,3i_0,0
1015,0,2i_0,1
1015,0,1i_0,1
1016,0,4i_0,0
1016,0,3i_0,0
1016,0,2i_0,1
1016,0,1i_0,1
1017,0,4i_0,0
1017,0,3i_0,0
1017,0,2i_0,1
1017,0,1i_0,1
1018,0,4i_0,0
1018,0,3i_0,0
1018,0,2i_0,1
1018,0,1i_0,1
1019,0,4i_0,0
1019,0,3i_0,0
1019,0,2i_0,1
1019,0,1i_0,1
1020,0,4i_0,0
1020,0,3i_0,0
1020,0,2i_0,1
1020,0,1i_0,1
1021,0,4i_0,0
1021,0,3i_0,0
1021,0,2i_0,1
1021,0,1i_0,1
1022,0,4i_0,0
1022,0,3i_0,0
1022,0,2i_0,1
1022,0,1i_0,1
1023,0,4i_0,1
1023,0,3i_0,0
1023,0,2i_0,1
1023,0,1i_0,1
1024,0,4i_0,1
1024,0,3i_0,0
1024,0,2i_0,0
1024,0,1i_0,0
1025,0,4i_0,1
1025,0,3i_0,0
1025,0,2i_0,0
1025,0,1i_0,0
1026,0,4i_0,1
1026,0,3i_0,0
1026,0,2i_0,0
1026,0,1i_0,0
1027,0,4i_0,1
1027,0,3i_0,0
1027,0,2i_0,0
1027,0,1i_0,0
1028,0,4i_0,1
1028,0,3i_0,0
1028,0,2i_0,0
1028,0,1i_0,0
1029,0,4i_0,1
1029,0,3i_0,0
1029,0,2i_0,0
1029,0,1i_0,0
1030,0,4i_0,1
1030,0,3i_0,0
1030,0,2i_0,0
1030,0,1i_0,0
1031,0,4i_0,1
1031,0,3i_0,0
1031,0,2i_0,0
1031,0,1i_0,0
1032,0,4i_0,1
1032,0,3i_0,0
1032,0,2i_0,0
1032,0,1i_0,0
1033,0,4i_0,1
1033,0,3i_0,0
1033,0,2i_0,0
1033,0,1i_0,0
1034,0,4i_0,2
1034,0,3i_0,0
1034,0,2i_0,0
1034,0,1i_0,0
1035,0,4i_0,2
1035,0,3i_0,0
1035,0,2i_0,0
1035,0,1i_0,0
1036,0,4i_0,2
1036,0,3i_0,0
1036,0,2i_0,0
1036,0,1i_0,0
1037,0,4i_0,2
1037,0,3i_0,0
1037,0,2i_0,0
1037,0,1i_0,0
1038,0,4i_0,3
1038,0,3i_0,0
1038,0,2i_0,0
1038,0,1i_0,0
1039,0,4i_0,3
1039,0,3i_0,0
1039,0,2i_0,0
1039,0,1i_0,0
1040,0,4i_0,3
1040,0,3i_0,0
1040,0,2i_0,0
1040,0,1i_0,0
1041,0,4i_0,3
1041,0,3i_0,0
1041,0,2i_0,0
1041,0,1i_0,0
1042,0,4i_0,3
1042,0,3i_0,0
1042,0,2i_0,0
1042,0,1i_0,0
1043,0,4i_0,4
1043,0,3i_0,0
1043,0,2i_0,0
1043,0,1i_0,0
1044,0,4i_0,4
1044,0,3i_0,0
1044,0,2i_0,0
1044,0,1i_0,0
1045,0,4i_0,4
1045,0,3i_0,0
1045,0,2i_0,0
1045,0,1i_0,0
1046,0,4i_0,4
1046,0,3i_0,0
1046,0,2i_0,0
1046,0,1i_0,0
1047,0,4i_0,5
1047,0,3i_0,0
1047,0,2i_0,0
1047,0,1i_0,0
1048,0,4i_0,5
1048,0,3i_0,0
1048,0,2i_0,0
1048,0,1i_0,0
1049,0,4i_0,5
1049,0,3i_0,0
1049,0,2i_0,0
1049,0,1i_0,0
1050,0,4i_0,5
1050,0,3i_0,0
1050,0,2i_0,0
1050,0,1i_0,0
1051,0,4i_0,5
1051,0,3i_0,0
1051,0,2i_0,0
1051,0,1i_0,0
1052,0,4i_0,5
1052,0,3i_0,0
1052,0,2i_0,0
1052,0,1i_0,0
1053,0,4i_0,5
1053,0,3i_0,0
1053,0,2i_0,0
1053,0,1i_0,0
1054,0,4i_0,5
1054,0,3i_0,0
1054,0,2i_0,0
1054,0,1i_0,0
1055,0,4i_0,5
1055,0,3i_0,0
1055,0,2i_0,0
1055,0,1i_0,0
1056,0,4i_0,5
1056,0,3i_0,0
1056,0,2i_0,0
1056,0,1i_0,0
1057,0,4i_0,5
1057,0,3i_0,0
1057,0,2i_0,0
1057,0,1i_0,0
1058,0,4i_0,5
1058,0,3i_0,0
1058,0,2i_0,0
1058,0,1i_0,0
1059,0,4i_0,5
1059,0,3i_0,0
1059,0,2i_0,0
1059,0,1i_0,0
1060,0,4i_0,5
1060,0,3i_0,0
1060,0,2i_0,0
1060,0,1i_0,0
1061,0,4i_0,5
1061,0,3i_0,0
1061,0,2i_0,0
1061,0,1i_0,0
1062,0,4i_0,6
1062,0,3i_0,1
1062,0,2i_0,0
1062,0,1i_0,0
1063,0,4i_0,6
1063,0,3i_0,1
1063,0,2i_0,0
1063,0,1i_0,0
1064,0,4i_0,6
1064,0,3i_0,1
1064,0,2i_0,0
1064,0,1i_0,0
1065,0,4i_0,6
1065,0,3i_0,1
1065,0,2i_0,0
1065,0,1i_0,0
1066,0,4i_0,6
1066,0,3i_0,2
1066,0,2i_0,0
1066,0,1i_0,0
1067,0,4i_0,7
1067,0,3i_0,2
1067,0,2i_0,0
1067,0,1i_0,0
1068,0,4i_0,7
1068,0,3i_0,2
1068,0,2i_0,0
1068,0,1i_0,0
1069,0,4i_0,7
1069,0,3i_0,2
1069,0,2i_0,0
1069,0,1i_0,0
1070,0,4i_0,7
1070,0,3i_0,2
1070,0,2i_0,0
1070,0,1i_0,0
1071,0,4i_0,8
1071,0,3i_0,2
1071,0,2i_0,0
1071,0,1i_0,0
1072,0,4i_0,8
1072,0,3i_0,3
1072,0,2i_0,0
1072,0,1i_0,0
1073,0,4i_0,8
1073,0,3i_0,3
1073,0,2i_0,0
1073,0,1i_0,0
1074,0,4i_0,8
1074,0,3i_0,3
1074,0,2i_0,0
1074,0,1i_0,0
1075,0,4i_0,8
1075,0,3i_0,3
1075,0,2i_0,0
1075,0,1i_0,0
1076,0,4i_0,8
1076,0,3i_0,3
1076,0,2i_0,0
1076,0,1i_0,0
1077,0,4i_0,9
1077,0,3i_0,3
1077,0,2i_0,0
1077,0,1i_0,0
1078,0,4i_0,9
1078,0,3i_0,3
1078,0,2i_0,0
1078,0,1i_0,0
1079,0,4i_0,9
1079,0,3i_0,3
1079,0,2i_0,0
1079,0,1i_0,0
1080,0,4i_0,9
1080,0,3i_0,3
1080,0,2i_0,0
1080,0,1i_0,0
1081,0,4i_0,9
1081,0,3i_0,3
1081,0,2i_0,0
1081,0,1i_0,0
1082,0,4i_0,10
1082,0,3i_0,3
1082,0,2i_0,0
1082,0,1i_0,0
1083,0,4i_0,10
1083,0,3i_0,3
1083,0,2i_0,0
1083,0,1i_0,0
1084,0,4i_0,10
1084,0,3i_0,3
1084,0,2i_0,0
1084,0,1i_0,0
1085,0,4i_0,10
1085,0,3i_0,3
1085,0,2i_0,0
1085,0,1i_0,0
1086,0,4i_0,10
1086,0,3i_0,3
1086,0,2i_0,0
1086,0,1i_0,0
1087,0,4i_0,10
1087,0,3i_0,3
1087,0,2i_0,0
1087,0,1i_0,0
1088,0,4i_0,10
1088,0,3i_0,3
1088,0,2i_0,0
1088,0,1i_0,0
1089,0,4i_0,10
1089,0,3i_0,4
1089,0,2i_0,0
1089,0,1i_0,0
1090,0,4i_0,10
1090,0,3i_0,4
1090,0,2i_0,0
1090,0,1i_0,0
1091,0,4i_0,10
1091,0,3i_0,4
1091,0,2i_0,0
1091,0,1i_0,0
1092,0,4i_0,10
1092,0,3i_0,4
1092,0,2i_0,0
1092,0,1i_0,0
1093,0,4i_0,10
1093,0,3i_0,4
1093,0,2i_0,0
1093,0,1i_0,0
1094,0,4i_0,10
1094,0,3i_0,4
1094,0,2i_0,0
1094,0,1i_0,0
1095,0,4i_0,10
1095,0,3i_0,4
1095,0,2i_0,0
1095,0,1i_0,0
1096,0,4i_0,10
1096,0,3i_0,4
1096,0,2i_0,0
1096,0,1i_0,0
1097,0,4i_0,10
1097,0,3i_0,4
1097,0,2i_0,0
1097,0,1i_0,0
1098,0,4i_0,10
1098,0,3i_0,4
1098,0,2i_0,0
1098,0,1i_0,0
1099,0,4i_0,10
1099,0,3i_0,4
1099,0,2i_0,0
1099,0,1i_0,0
1100,0,4i_0,10
1100,0,3i_0,4
1100,0,2i_0,0
1100,0,1i_0,1
1101,0,4i_0,9
1101,0,3i_0,3
1101,0,2i_0,0
1101,0,1i_0,1
1102,0,4i_0,9
1102,0,3i_0,3
1102,0,2i_0,0
1102,0,1i_0,1
1103,0,4i_0,9
1103,0,3i_0,3
1103,0,2i_0,0
1103,0,1i_0,1
1104,0,4i_0,9
1104,0,3i_0,2
1104,0,2i_0,0
1104,0,1i_0,1
1105,0,4i_0,8
1105,0,3i_0,1
1105,0,2i_0,0
1105,0,1i_0,1
1106,0,4i_0,8
1106,0,3i_0,1
1106,0,2i_0,0
1106,0,1i_0,1
1107,0,4i_0,7
1107,0,3i_0,0
1107,0,2i_0,0
1107,0,1i_0,1
1108,0,4i_0,7
1108,0,3i_0,0
1108,0,2i_0,0
1108,0,1i_0,1
1109,0,4i_0,6
1109,0,3i_0,0
1109,0,2i_0,0
1109,0,1i_0,1
1110,0,4i_0,5
1110,0,3i_0,0
1110,0,2i_0,0
1110,0,1i_0,2
1111,0,4i_0,4
1111,0,3i_0,0
1111,0,2i_0,0
1111,0,1i_0,2
1112,0,4i_0,3
1112,0,3i_0,0
1112,0,2i_0,0
1112,0,1i_0,2
1113,0,4i_0,2
1113,0,3i_0,0
1113,0,2i_0,0
1113,0,1i_0,2
1114,0,4i_0,1
1114,0,3i_0,0
1114,0,2i_0,0
1114,0,1i_0,2
1115,0,4i_0,0
1115,0,3i_0,0
1115,0,2i_0,0
1115,0,1i_0,2
1116,0,4i_0,0
1116,0,3i_0,0
1116,0,2i_0,0
1116,0,1i_0,3
1117,0,4i_0,0
1117,0,3i_0,0
1117,0,2i_0,0
1117,0,1i_0,3
1118,0,4i_0,0
1118,0,3i_0,0
1118,0,2i_0,0
1118,0,1i_0,3
1119,0,4i_0,0
1119,0,3i_0,0
1119,0,2i_0,0
1119,0,1i_0,3
1120,0,4i_0,0
1120,0,3i_0,0
1120,0,2i_0,0
1120,0,1i_0,3
1121,0,4i_0,0
1121,0,3i_0,0
1121,0,2i_0,0
1121,0,1i_0,3
1122,0,4i_0,0
1122,0,3i_0,0
1122,0,2i_0,0
1122,0,1i_0,3
1123,0,4i_0,0
1123,0,3i_0,0
1123,0,2i_0,0
1123,0,1i_0,3
1124,0,4i_0,0
1124,0,3i_0,0
1124,0,2i_0,0
1124,0,1i_0,3
1125,0,4i_0,0
1125,0,3i_0,0
1125,0,2i_0,0
1125,0,1i_0,3
1126,0,4i_0,0
1126,0,3i_0,0
1126,0,2i_0,0
1126,0,1i_0,3
1127,0,4i_0,0
1127,0,3i_0,0
1127,0,2i_0,0
1127,0,1i_0,4
1128,0,4i_0,0
1128,0,3i_0,0
1128,0,2i_0,0
1128,0,1i_0,4
1129,0,4i_0,0
1129,0,3i_0,0
1129,0,2i_0,0
1129,0,1i_0,4
1130,0,4i_0,0
1130,0,3i_0,0
1130,0,2i_0,0
1130,0,1i_0,4
1131,0,4i_0,0
1131,0,3i_0,0
1131,0,2i_0,0
1131,0,1i_0,4
1132,0,4i_0,0
1132,0,3i_0,0
1132,0,2i_0,0
1132,0,1i_0,4
1133,0,4i_0,0
1133,0,3i_0,0
1133,0,2i_0,0
1133,0,1i_0,4
1134,0,4i_0,0
1134,0,3i_0,0
1134,0,2i_0,0
1134,0,1i_0,4
1135,0,4i_0,0
1135,0,3i_0,0
1135,0,2i_0,0
1135,0,1i_0,4
1136,0,4i_0,0
1136,0,3i_0,0
1136,0,2i_0,0
1136,0,1i_0,4
1137,0,4i_0,0
1137,0,3i_0,0
1137,0,2i_0,0
1137,0,1i_0,4
1138,0,4i_0,0
1138,0,3i_0,0
1138,0,2i_0,0
1138,0,1i_0,4
1139,0,4i_0,0
1139,0,3i_0,0
1139,0,2i_0,0
1139,0,1i_0,4
1140,0,4i_0,0
1140,0,3i_0,0
1140,0,2i_0,0
1140,0,1i_0,4
1141,0,4i_0,0
1141,0,3i_0,0
1141,0,2i_0,0
1141,0,1i_0,4
1142,0,4i_0,0
1142,0,3i_0,0
1142,0,2i_0,0
1142,0,1i_0,4
1143,0,4i_0,0
1143,0,3i_0,0
1143,0,2i_0,0
1143,0,1i_0,5
1144,0,4i_0,0
1144,0,3i_0,0
1144,0,2i_0,0
1144,0,1i_0,5
1145,0,4i_0,0
1145,0,3i_0,0
1145,0,2i_0,0
1145,0,1i_0,5
1146,0,4i_0,0
1146,0,3i_0,0
1146,0,2i_0,0
1146,0,1i_0,5
1147,0,4i_0,0
1147,0,3i_0,0
1147,0,2i_0,0
1147,0,1i_0,5
1148,0,4i_0,0
1148,0,3i_0,0
1148,0,2i_0,0
1148,0,1i_0,5
1149,0,4i_0,0
1149,0,3i_0,0
1149,0,2i_0,0
1149,0,1i_0,5
1150,0,4i_0,0
1150,0,3i_0,0
1150,0,2i_0,0
1150,0,1i_0,5
1151,0,4i_0,0
1151,0,3i_0,0
1151,0,2i_0,0
1151,0,1i_0,5
1152,0,4i_0,0
1152,0,3i_0,0
1152,0,2i_0,0
1152,0,1i_0,5
1153,0,4i_0,0
1153,0,3i_0,0
1153,0,2i_0,1
1153,0,1i_0,5
1154,0,4i_0,0
1154,0,3i_0,0
1154,0,2i_0,1
1154,0,1i_0,5
1155,0,4i_0,0
1155,0,3i_0,0
1155,0,2i_0,1
1155,0,1i_0,5
1156,0,4i_0,0
1156,0,3i_0,0
1156,0,2i_0,1
1156,0,1i_0,5
1157,0,4i_0,0
1157,0,3i_0,0
1157,0,2i_0,1
1157,0,1i_0,6
1158,0,4i_0,0
1158,0,3i_0,0
1158,0,2i_0,1
1158,0,1i_0,6
1159,0,4i_0,0
1159,0,3i_0,0
1159,0,2i_0,1
1159,0,1i_0,6
1160,0,4i_0,0
1160,0,3i_0,0
1160,0,2i_0,1
1160,0,1i_0,6
1161,0,4i_0,0
1161,0,3i_0,0
1161,0,2i_0,1
1161,0,1i_0,6
1162,0,4i_0,0
1162,0,3i_0,0
1162,0,2i_0,1
1162,0,1i_0,7
1163,0,4i_0,0
1163,0,3i_0,0
1163,0,2i_0,1
1163,0,1i_0,7
1164,0,4i_0,0
1164,0,3i_0,0
1164,0,2i_0,1
1164,0,1i_0,7
1165,0,4i_0,0
1165,0,3i_0,0
1165,0,2i_0,1
1165,0,1i_0,7
1166,0,4i_0,0
1166,0,3i_0,0
1166,0,2i_0,1
1166,0,1i_0,7
1167,0,4i_0,0
1167,0,3i_0,0
1167,0,2i_0,1
1167,0,1i_0,8
1168,0,4i_0,0
1168,0,3i_0,0
1168,0,2i_0,1
1168,0,1i_0,8
1169,0,4i_0,0
1169,0,3i_0,0
1169,0,2i_0,2
1169,0,1i_0,8
1170,0,4i_0,0
1170,0,3i_0,0
1170,0,2i_0,2
1170,0,1i_0,8
1171,0,4i_0,0
1171,0,3i_0,0
1171,0,2i_0,2
1171,0,1i_0,8
1172,0,4i_0,0
1172,0,3i_0,0
1172,0,2i_0,2
1172,0,1i_0,8
1173,0,4i_0,0
1173,0,3i_0,0
1173,0,2i_0,2
1173,0,1i_0,8
1174,0,4i_0,0
1174,0,3i_0,0
1174,0,2i_0,3
1174,0,1i_0,8
1175,0,4i_0,0
1175,0,3i_0,0
1175,0,2i_0,3
1175,0,1i_0,9
1176,0,4i_0,0
1176,0,3i_0,0
1176,0,2i_0,3
1176,0,1i_0,9
1177,0,4i_0,0
1177,0,3i_0,0
1177,0,2i_0,3
1177,0,1i_0,9
1178,0,4i_0,0
1178,0,3i_0,0
1178,0,2i_0,3
1178,0,1i_0,9
1179,0,4i_0,0
1179,0,3i_0,0
1179,0,2i_0,3
1179,0,1i_0,9
1180,0,4i_0,0
1180,0,3i_0,0
1180,0,2i_0,3
1180,0,1i_0,10
1181,0,4i_0,0
1181,0,3i_0,0
1181,0,2i_0,3
1181,0,1i_0,10
1182,0,4i_0,0
1182,0,3i_0,0
1182,0,2i_0,3
1182,0,1i_0,10
1183,0,4i_0,0
1183,0,3i_0,0
1183,0,2i_0,3
1183,0,1i_0,10
1184,0,4i_0,0
1184,0,3i_0,0
1184,0,2i_0,3
1184,0,1i_0,10
1185,0,4i_0,0
1185,0,3i_0,0
1185,0,2i_0,3
1185,0,1i_0,10
1186,0,4i_0,0
1186,0,3i_0,0
1186,0,2i_0,3
1186,0,1i_0,10
1187,0,4i_0,0
1187,0,3i_0,0
1187,0,2i_0,2
1187,0,1i_0,9
1188,0,4i_0,0
1188,0,3i_0,0
1188,0,2i_0,2
1188,0,1i_0,9
1189,0,4i_0,0
1189,0,3i_0,0
1189,0,2i_0,2
1189,0,1i_0,9
1190,0,4i_0,0
1190,0,3i_0,0
1190,0,2i_0,1
1190,0,1i_0,9
1191,0,4i_0,0
1191,0,3i_0,0
1191,0,2i_0,0
1191,0,1i_0,8
1192,0,4i_0,0
1192,0,3i_0,0
1192,0,2i_0,0
1192,0,1i_0,7
1193,0,4i_0,0
1193,0,3i_0,0
1193,0,2i_0,0
1193,0,1i_0,6
1194,0,4i_0,0
1194,0,3i_0,0
1194,0,2i_0,0
1194,0,1i_0,6
1195,0,4i_0,0
1195,0,3i_0,0
1195,0,2i_0,0
1195,0,1i_0,5
1196,0,4i_0,0
1196,0,3i_0,0
1196,0,2i_0,0
1196,0,1i_0,4
1197,0,4i_0,0
1197,0,3i_0,0
1197,0,2i_0,0
1197,0,1i_0,3
1198,0,4i_0,0
1198,0,3i_0,0
1198,0,2i_0,0
1198,0,1i_0,2
1199,0,4i_0,0
1199,0,3i_0,0
1199,0,2i_0,0
1199,0,1i_0,2
1200,0,4i_0,0
1200,0,3i_0,0
1200,0,2i_0,0
1200,0,1i_0,1
1201,0,4i_0,0
1201,0,3i_0,0
1201,0,2i_0,0
1201,0,1i_0,0
1202,0,4i_0,0
1202,0,3i_0,0
1202,0,2i_0,0
1202,0,1i_0,0
1203,0,4i_0,0
1203,0,3i_0,0
1203,0,2i_0,0
1203,0,1i_0,0
1204,0,4i_0,0
1204,0,3i_0,0
1204,0,2i_0,0
1204,0,1i_0,0
1205,0,4i_0,0
1205,0,3i_0,0
1205,0,2i_0,0
1205,0,1i_0,0
